"Title","Authors","Publish Date (Year)"
"A Passion for Golf: The Best of Golf Writing","By Garrity, John (INT) and Bishop, Schuyler (EDT)","1998"
"The Way of the Wizard: Twenty Spiritual Lessons for Creating the Life You Want","By Chopra, Deepak","1995"
"Handmade for Profit!: Hundreds of Secrets to Success in Selling Arts and Crafts","By Brabec, Barbara","1996"
"Totline Teaching Tales ~ Short-Short Stories ~ Simple Stories For Young Children Plus Seasonal Activities","By Warren, Jean and McKinnon, Elizabeth S. (EDT)","1987"
"Treasury Whole Language Literature Ideas (Troll Teacher Idea Books)","By Reeves, Barbara","1998"
"Meet the Author (Troll Professional Series)","By Orzakis, Laurie","1992"
"Adventuring Along the Southeast Coast: The Sierra Club Guide to the Low Country, Beaches, and Barrier Islands of North Carolina, South Carolina, and (Sierra Club Adventure Travel Guides)","By Bowen, John","1993"
"Totline Teaching Tales ~ Teeny-Tiny Folktales ~ Simple Folktales For Young Children Plus Flannelboard Patterns","By Warren, Jean","1987"
"Discovering Oceans, Lakes, Ponds and Puddles","By Frame, Jeron Ashford and Holladay, Scott (ILT)","1994"
"Game Birds Of North America","By Rue, Leonard Lee","1973"
"The Birdwatcher's Companion","By MacKay, Barry Kent","1994"
"Stalking birds with color camera,","By Allen, Arthur A","1961"
"Glorious French Food: A Fresh Approach to the Classics","By Peterson, James","2002"
"The Portrait of a Lady (Oxford World's Classics)","By James, Henry and Bradbury, Nicola (EDT)","1998"
"Wilderness kingdom, Indian life in the Rocky Mountains: 1840-1847;: The journals & paintings of Nicolas Point","By Point, Nicolas","1967"
"Managing Transitions: Making The Most Of Change","By Bridges, William","1991"
"False Assumptions","By Cloud, Henry and Townsend, John","1994"
"Mortgaging The Earth: The World Bank, Environmental Impoverishment, and the Crisis of Development","By Rich, Bruce","1994"
"Banff Springs the Story of a Hotel","By Bart Robinson","1989"
"Origins Of History","By Butterfield, Herbert","1981"
"What Bird Did That?: A Driver's Guide to Some Common Birds of North America","By Silver, Burton","2004"
"A Separate Peace with Connections (HRW Library)","By Holt Mcdougal (COR)","1999"
"Inner Revolution","By Thurman, Robert A. F.","1999"
"Lost Cities of the Maya (Discoveries)","By Baudez, Claude F. and Picasso, Sydney","1992"
"Life in Ancient Egypt","By Erman, Adolf","1971"
"25 Bicycle Tours in New Jersey","By Zatz, Aline and Zatz, Joel","1988"
"The World of the Ancient Maya","By Henderson, John S.","1997"
"The Wind in the Willows (Children's Classics)","By Kenneth Grahame","1989"
