"Title","Authors","Publish Date (Year)"
"Helping Parents Help Their Children","By Arnold, Eugene L. (EDT)","1978"
"The Jericho Sanction (International Intrigue Trilogy #2)","By North, Oliver and Musser, Joe","2003"
"Ttyl","By Myracle, Lauren","2005"
"The Kitten Book (Look-Look)","By Pfloog, Jan and Pfloog, Jan (ILT)","1999"
"The Snowman (Step-Into-Reading, Step 1)","By Briggs, Raymond, Knudsen, Michelle, and Downer, Maggie (ILT)","1999"
"Theory And Practice Of Group Therapy, 3d Ed.","By Yalom, Irvin D.","1985"
"Nancy Drew 52: the Secret of the Forgotten City","By Keene, Carolyn","1975"
"Nancy Drew 53: the Sky Phantom","By Keene, Carolyn","1976"
"The Big Game (Pictureback(R))","By Auerbach, Annie","2005"
"The Night Before Valentine's Day","By Wing, Natasha and Petach, Heidi (ILT)","2000"
"Kellogg's Froot Loops! Counting Fun Book","By McGrath, Barbara Barbieri and Mazzola, Frank, Jr. (ILT)","2000"
"Animals On The Move (First Discovery) Look-it-up Board Books","By Hugo, Pierre De (ILT)","2002"
"Sophie's world: a novel about the history of philosophy (Berkeley Signature Edition)","By Gaarder, Jostein and Moller, Paulette (TRN)","1997"
"I Really Want to Change... So, Help Me God","By MacDonald, James","2000"
"This Book Will Save Your Life: A Novel","By Homes, A. M.","2007"
"Review of Medical Physiology","By Ganong, William F.","1991"
"These Three Remain: A Novel of Fitzwilliam Darcy, Gentleman","By Aidan, Pamela","2007"
"Hawaii the Big Island Revealed: The Ultimate Guidebook","By Doughty, Andrew and Friedman, Harriett","2002"
"The Feast of Love","By Baxter, Charles","2000"
"Better Homes and Gardens Creative Cake Decorating","By Bh, G","1984"
"Civil War Stories (Dover Thrift Editions)","By Bierce, Ambrose","1994"
"Surviving Deployment: A Guide for Military Families","By Pavlicin, Karen M.","2003"
"CAN I HAVE 5 MIN OF YOUR TIME-SC-OSI","By Becker, Hal and Mustric, Florence","1993"
"Fun and Fancy Machine Quiltmaking","By Smith, Lois Tornquist","1989"
"Garfield's Picnic Adven. Lk Lk (Golden Look-look Book)","By Davis, Jim and Harris, Jack C.","1990"
"Sex in history","By Tannahill, Reay","1955"
"And So They Build (Read and Wonder)","By Kitchen, Bert and Kitchen, Bert (ILT)","1995"
"Farm Animals","By Gave, Marc and Goldberg, Grace (ILT)","1997"
"Carolyn Warrender's Book of Stencilling","By Warrender, Carolyn and Strickland, Tessa","1989"
"Penny-pinching Main Dishes","By Lund, Joanna","1998"
"The Strange Ride of Rudyard Kipling: His Life and Works","By Wilson, Angus","1979"
"The New Tolerance: How a cultural movement threatens to destroy you, your faith, and your children","By Hostetler, Bob and McDowell, Josh D.","1998"
"The Great House of God","By Lucado, Max","2001"
"Rome Sweet Home: Our Journey to Catholicism","By Hahn, Scott and Hahn, Kimberly","1993"
"Dinosaurs Are Different (Let's-Read-and-Find-Out Science 2)","By Aliki","1986"
"JUST LIKE JESUS","By Lucado, Max","1998"
"Disney's Tarzan (Disney's Wonderful World of Reading)","By Disney","1999"
"The Vile Village (A Series of Unfortunate Events, No. 7)","By Snicket, Lemony and Helquist, Brett (ILT)","2001"
"Living Through the Meantime: Learning to Break the Patterns of the Past and Begin the Healing Process","By Vanzant, Iyanla","2001"
"The Wreck of the Ethie","By Bachem, Paul (ILT), Hyland, Hilary, and Crockett, Linda (ILT)","1999"
"Disney's Pooh's Early-to-Bed and Early-to-Rise Hum (Winnie the Pooh's Sweet Dreams)","By Ellen Milnes","1999"
"The Truck Book","By McNaught, Harry","1978"
"Dry Ice (Dr. Alan Gregory Novels)","By White, Stephen","2007"
"Streets of Laredo","By McMurtry, Larry","1993"
"Promise Me (Myron Bolitar Mysteries)","By Coben, Harlan","2006"
"Where Do Babies Come From? (Starting Point Science)","By Mayes, Susan","1992"
"The Night Before Kindergarten","By Wing, Natasha and Durrell, Julie (ILT)","2001"
"Breath of Scandal","By Brown, Sandra","1991"
"Germy Blew It","By Jones, Rebecca C.","1988"
"The Ethical Brain","By Gazzaniga, Michael S.","2005"
"New House/More House: Solving the Residential Construction Puzzle","By Preves, Richard","2002"
"The Blind Side: Evolution of a Game","By Lewis, Michael","2006"
"The Skies Of Pern","By McCaffrey, Anne","2001"
"The Nature of Alexander","By Renault, Mary","1979"
"The Secrets About Life Every Woman Should Know: Ten Principles for Total Emotional and Spiritual Fulfillment","By De Angelis, Barbara","1999"
"How to Wash Your Face: America's Leading Dermatologist Reveals the Essential Secrets for Youthful, Radiant Skin","By Kenet, Barney J. and Lawler, Patricia","1999"
"Oliver's Story","By Segal, Erich","2012"
"The Devil's Teardrop: A Novel of the Last Night of the Century (A Lincoln Rhyme Novel)","By Deaver, Jeffery","1999"
"Seasons of Giving: Gift Crafting Throughout the Year","By Prittie, Joni and Tsukushi, Todd (PHT)","1993"
"The Bathroom Golf Book","By Harry Patterson","2005"
"God Speaks to Women Today","By Price, Eugenia","1992"
"The Deadly Dungeon (A to Z Mysteries)","By Gurney, John Steven (ILT) and Roy, Ron","1998"
"Love on the Run (The Salinger Sisters #1)","By MacDonald, Shari","1998"
"A Match Made in Heaven (The Salinger Sisters #2)","By MacDonald, Shari","1999"
"The Perfect Wife (The Salinger Sisters #3)","By MacDonald, Shari","1999"
"Hide or Seek : How to Build Self-Esteem in Your Child","By Dobson, James","1979"
"Probable Cause","By Schwegel, Theresa","2006"
"Better Homes and Gardens Favorite Houseplants and How to Grow Them (Better homes and gardens books)","By Better Homes, Gardens staff","1978"
"Teaching the Bible Creatively","By McNabb, Bill and Marby, Steven","1990"
"Nothing Risque, Nothing Gained: Ribald Riddles, Lascivious Limericks, Carnal Corn, and Other Good, Clean Dirty Fun","By Lederer, Richard and Morice, Dave","1995"
"That's in the Bible?: The Ultimate Learn-As-You-Play Bible Quiz Book","By Allison, Wick","1994"
"Happy Birthday (You Poor Old Wreck) (The Kings Kids Say)","By Exley, Helen (EDT) and Exley, Richard (EDT)","1997"
"Accounting for Dummies (Serial)","By Tracy, John A.","1997"
"Scateboard Renegade: Image isn't Everything","By Mantell, Paul and Christopher, Matt","2000"
"Key to Yourself: Opening the Door to a Joyful Life From Within","By Bloodworth, Venice J., Ph.D.","1980"
"Simple Solutions: Obedience (CompanionHouse Books) (Simple Solutions Series)","By Thornton, Kim Campbell and Jones, Buck (ILT)","2003"
"The Thief Lord","By Funke, Cornelia Caroline and Latsch, Oliver","2003"
"World History (Travel Guide)","By Wilkinson, Philip","1996"
"Trucks (Jellybean Books(R))","By McNaught, Harry and McNaugh, Harry (ILT)","1998"
"The Most Important Decision You Will Ever Make","By Meyer, Joyce","1996"
"Untapped Miracles for Tapped-out Christians","By Mains, David R.","1998"
"A Taste of Chicken Soup for the Christian Family Soul","By Jack Canfield, Mark Victor Hansen, Patty Aubery & Nancy Autio","2005"
"The Golden Years of Broadcasting: A Celebration of the First 50 Years of Radio and TV on NBC","By Campbell, Robert","1976"
"Who Is This Jesus?","By Green, Michael","1994"
"A Heart Like Jesus","By Lucado, Max","2003"
"Mars and Venus in the Bedroom: A Guide to Lasting Romance and Passion","By Gray, John","2005"
"Under the Tuscan Sun: At Home in Italy","By Mayes, Frances","2003"
"Everything She Thought She Wanted","By Buchan, Elizabeth","2006"
"The Case of the Slam Dunk Mystery (New Adventures of Mary-Kate & Ashley, No. 15)","By Dubowski, Cathy East and Olsen, Mary-Kate","2000"
"A Good Time to Be the Church","By Anderson, H. George","1996"
"Her Name Is Woman: Book 2 (Fran Sciacca)","By Karssen, Gien","1977"
"The Marriage Dictionary","By Carey, Tom","1993"
"Worst Fears Realized","By Woods, Stuart","1999"
"Clifford's Hiccups","By Bridwell, Norman, Kurtz, Sandrina (ILT), Bracken, Carolyn (ILT), and Weyn, Suzanne (ADP)","2001"
"Imperfect Strangers","By Woods, Stuart","1995"
"Clifford's Valentines (Scholastic Reader, Level 1)","By Bridwell, Norman","2002"
"Cold Paradise (Stone Barrington)","By Woods, Stuart","2001"
"Soup","By Peck, Robert Newton","1979"
"My little book of prayers (First little golden books)","By Allert, Kathy illust,by","1982"
"The Great Mouse Detective (Golden Books)","By Walt Disney Pictures.","1986"
"Pippi Longstocking","By Lindgren, Astrid, Glanzman, Louis S. (ILT), and Glanzman, Louis S.","1988"
"Breaking Controlling Powers","By Liardon, Roberts","1995"
"The nature and nurture of behavior, developmental psychobiology;: Readings from Scientific American","By","1973"
"Home, Stinky Home (Lilo & Stitch) (Step into Reading, Level 2)","By Lagonegro, Melissa and Raso, Carlo Lo (ILT)","2004"
"Mother Rabbit's Son Tom (An Early I Can Read Book)","By Gackenbach, Dick","1977"
"The Statue of Liberty (Step-into-Reading, Step 2)","By Penner, Lucille Recht and Rowland, Jada (ILT)","1995"
"TOD AND COPPER (Disney's wonderful world of reading)","By Walt Disney Company","1981"
"Favorite Nursery Tales, Ginerbread Man and Golden Goose (Little Golden Book)","By Walt Disney","1973"
"Carpe Diem: Seize the Day","By Campolo, Tony","1994"
"Emily's Runaway Imagination","By Cleary, Beverly","2008"
"Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in)","By Olsen, Mary-Kate and Fiedler, Lisa","2000"
"Easy Wipe-Off Printing: Kindergarten Grade 1 Writing (Home Learning Tools)","By Dalmatian Press","2002"
"Vanished","By Robards, Karen","2006"
"Snow White: What a Surprise! (Disney's Storytime Treasures Library)","By n/a","1998"
"Disney's Pocahontas (Golden Books)","By Walt Disney Productions (COR), Lundell, Margo, and Cardona, Jose (ILT)","1995"
"Strong Motion: A Novel","By Franzen, Jonathan","2001"
"That Provoking Puppy","By No Author","1928"
"Gallowglass","By Vine, Barbara","1990"
"A Man's Journey to Simple Abundance","By Ban Breathnach, Sarah and Segell, Michael (EDT)","2000"
"National Museum of Women in the Arts","By Rennolds, Margaret B. (Ed.)","1987"
"Don't Forget to Fly","By Elaine  Mei Aoki","1993"
"Women and Religion in America","By Ruether, Rosemary Radford and Keller, Rosemary Skinner","1986"
"Unbreakable Bonds: Practicing the Art of Loving and Being Loved","By Meier, Paul D. and Meier, Cheryl","2002"
"Trumpets from Montparnasse","By Gibbings, Robert","1955"
"A Day That Changed America: Gettysburg","By Craig, David (ILT) and Tanaka, Shelley","2003"
"The Cambridge Encyclopedia of Language","By Crystal, David","1997"
"Mind Power (Quest for the Unknown)","By Reader's Digest","1992"
"Phantom Encounters (Mysteries of the Unknown)","By Time-Life Books","1988"
"The Luxury yachts (The Seafarers)","By Rousmaniere, John","1981"
"Across the Rhine (World War II)","By Davis, Franklin M.","1980"
"The secret war (World War II)","By Russell, Francis","1982"
"The Sounds of Poetry: A Brief Guide","By Pinsky, Robert and Pinksy, Robert","1998"
"The Berenstain Bears and the Missing Dinosaur Bone","By Berenstain, Stan and Berenstain, Jan","1980"
"There Are No Children Here: The Story of Two Boys Growing Up in The Other America","By Kotlowitz, Alex","1992"
"Return of the Eagle: How America Saved Its National Symbol (Nature Conservancy)","By Breining, Greg and Oberle, Frank","1994"
"Let the Big Dog Eat!: A Dictionary of the Secret Language of Golf","By Pedroli, Hubert, Tiegreen, Mary, Tiegreen, Mary (ILT), and Ppedroli, Hubert (COM)","2000"
"The Riddle of Penncroft Farm","By Jensen, Dorothea","2001"
"Torpedo Junction: U-Boat War Off America's East Coast, 1942","By Hickam, Homer H.","1991"
"The Heavenly City of the Eighteenth-Century Philosophers (The Storrs Lectures Series)","By Becker, Carl L.","1959"
"Wilderness Skiing (A Sierra Club totebook)","By Tejada-Flores, Lito","1982"
"Something to Be Desired","By McGuane, Thomas","1985"
"Reaching Out: The Three Movements of the Spiritual Life","By Nouwen, Henri J. M.","1986"
"To The Lighthouse","By Woolf, Virginia","1989"
"Christopher Robin Gives Pooh a Party","By Milne, A. A.","1990"
"The Lonely Mermaid and Other Stories: Five Minute Tales For Bedtime (Children's Storytime Collection","By Derek Hall, Alison Morris, Louisa Somerville","1999"
"The Great Riddle Contest (Winnie the Pooh)","By Braybrooks, Ann","1999"
"Betrayal","By Arthur, Randall","1999"
"Emily and the Snowflake","By Ewing, Carolyn (ILT) and Wahl, Jan","1995"
"Muppet Babies: I Want to Do That . . .","By Not Available","2005"
"Harvard Concise Dictionary of Music","By Randel, Don Michael","1985"
"Shortcuts Sampler","By Carter, Roxanne","1993"
"Make Way for Ducklings","By Robert McCloskey","1969"
"Favorite Tales by Thorton Burgess","By Burgess, Thornton W.","1979"
"LOVE - Fulfilling the Ultimate Quest","By James P. Gills , M. D.","1993"
"The Rainbow Abyss (Sun-Cross, Book 1)","By Hambly, Barbara","1991"
"Understanding Race, Class, Gender and Sexuality: A Conceptual Framework","By Weber, Lynn","2000"
"Scientists Confront Creationism","By Godfrey, Laurie R.","1984"
"The Wounded Heart: Hope for Adult Victims of Childhood Sexual Abuse","By Allender, Dan B.","1995"
"No Easy Answers: The Learning Disabled Child at Home and at School","By Smith, Sally","1995"
"Infant Massage--Revised Edition: A Handbook for Loving Parents","By McClure, Vimala Schneider","2000"
"Kanga and Baby Roo Come to the Forest","By A. A. Milne","1990"
"Pooh Goes Visiting and Pooh and Piglet Nearly Catch a Woozle","By A. A. Milne","1990"
"Book of Pooh: Pooh's Magic Wishes: Read Along Storybook","By Milne, A. A., Barrett, John E. (ILT), Barrett, John E. (PHT), Edgar, Amy, and Zaslove, Mark","2001"
"Basic Plumbing","By No Authors Credited","1987"
"Finding Nemo Little Golden Book","By Saxon, Victoria and Tilley, Scott (ILT)","2003"
"A Child's Book of Hope (Jellybean Books(R))","By Haverfield, Mary (ILT) and Thomas, Jean Monrad","1999"
"Hershey's Kisses Subtraction Book","By Pallotta, Jerry and Bolster, Rob (ILT)","2002"
"The Berenstain Bears Forget Their Manners","By Berenstain, Stan and Berenstain, Jan","1985"
"Pocahontas (Disney's Wonderful World of Reading)","By Walt Disney","1995"
"500 Words to Grow On (Pictureback(R))","By Random House (COR) and Kest, Kristin (ILT)","2005"
"Where Is Boots?: A Lift-the-Flap Story (Dora the Explorer)","By Thorpe, Kiki and Savitsky, Steve (ILT)","2002"
"Dora Loves Boots (Dora the Explorer)","By Saunders, Zina (ILT) and Inches, Alison","2004"
"The Taste of Summer","By Worthington, Diane","1988"
"Test Your Baseball IQ","By Hoffman, Sanford (ILT) and Forker, Dom","1993"
"The Art of Breathing: Thirty Simple Exercises for Improving Your Performance and Well-Being","By Zi, Nancy","1986"
"Aikido for Life","By Homma, Gaku","1993"
"Mind Siege: The Battle for the Truth","By LaHaye, Tim F. and Noebel, David","2003"
"How to Meditate: A Guide to Self-Discovery","By LeShan, Lawrence","1986"
"Kovels' Quick Tips: 799 Helpful Hints on How to Care for Your Collectibles","By Kovel, Ralph and Kovel, Terry","1995"
"Grace Livingston Hill Collection (Grace Livingston Hill Collection (Paperback))","By Hill, Grace Livingston","1989"
"Something To Smile About Encouragement And Inspiration For Life's Ups And Downs","By Ziglar, Zig","1997"
"Teddy Board Books: Teddy Goes to Work","By McFarland, Nancy (ILT) and Bender, Don (PHT)","1996"
"Disney's Pocahontas: The Raccoon's Tale (Golden Books)","By Walt Disney Company, Korman, Justine, and Baker, Darrell (ILT)","1996"
"Beyond the Great Snow Mountains: Stories","By L'Amour, Louis","2000"
"Bears Away from Home (Strawberry library of first learning)","By Hefter, Richard","1983"
"Fievel Goes West: Fievel's Journey (American Tail)","By Swenson, Charles","1991"
"The Young Basketball Player","By Mullin, Chris and Coleman, Brian","1995"
"Fitness For Dummies","By Neporent, Liz and Schlosberg, Suzanne","1996"
"Joy For The Journey A Woman's Book Of Joyful Promises","By Gibbs, Terri (EDT)","1997"
"Complete Fix-It-Yourself Manual","By Time-Life Books","1989"
"Apes, Angels, & Victorians: The Story of Darwin, Huxley, and Evolution","By William Irvine","1963"
"Puss In Boots (Golden Storytime Book)","By McQueen, Lucinda (ILT), Suben, Eric, and Perrault, Charles","1990"
"Big Dogs Little Dogs: The World of Our Canine Companions","By Arts and Entertainment Network Staff","1998"
"Millennium Baby's First Year (DK Millennium)","By Ash, Caroline","1999"
"And With a Light Touch: learning about reading, writing, and teaching with first graders","By Forseth, Carol Avery","1993"
"Southern Living 2001: Annual Recipes (Southern Living Annual Recipes, 2001)","By Southern Living","2001"
"Uncle John's Slightly Irregular Bathroom Reader (Uncle John's Bathroom Reader Annual)","By Bathroom Readers' Institute","2004"
"Amongst Women","By McGahern, John","1991"
"Paddy Clarke Ha Ha Ha","By Doyle, Roddy","1995"
"Picking Apples and Pumpkins","By Hutchings, Amy","1994"
"Sunset Quick Meals With Fresh Foods","By Sunset","1983"
"Monster Bugs (Step-Into-Reading, Step 3)","By Penner, Lucille Recht and Johnson, Pamela (ILT)","1996"
"What Car Dealers Won't Tell You: The Insider's Guide to Buying or Leasing a New or Used Car","By Elliston, Bob","1996"
"Better Homes and Gardens After Work Cook Book","By","1974"
"Black Beauty (A Stepping Stone Book(TM))","By Dubowski, Cathy East and D'Andrea, Domenick (ILT)","1990"
"Maisy's Colors","By Cousins, Lucy and Cousins, Lucy (ILT)","1999"
"Thomas the Tank Engine: Colors (1991) (Toddler Board Books)","By","1991"
"Genesis and the Decay of the Nations","By Ham, Ken","1996"
"Mixed Messages/Responding to Interracial Marriage E","By Prinzing, Fred and Prinzing, Anita","1991"
"The Book of Clean Jokes","By Harmon, Dan","1989"
"Bob the Builder: Bob's Valentine Surprise","By Ostrow, Kim, Chicko, Joe (ILT), and Chicko, Terri (ILT)","2002"
"Homeward Heart (PCU Number 2)","By Johnson, Lissa Halls","1996"
"Clifford To The Rescue","By Bridwell, Norman","2000"
"Just Ella (Palace Chronicles)","By Haddix, Margaret Peterson","1999"
"Super Self: Doubling Your Personal Effectiveness","By Givens, Charles J.","1993"
"Uncle Matty's Ultimate Guide to Dog Training: The Woof Papers","By Siegal, Mordecai and Morgolis, Matthew","1998"
"Trouble for Thomas and Other Stories (Thomas the Tank Engine; A Please Read To Me book)","By Awdry, W., McArthur, Kenny, and Mitton, David","1989"
"The Basket Counts (Matt Christopher Sports Classics)","By Christopher, Matt and Swearingen, Karen Meyer (ILT)","1991"
"Ben Hur (Young Readers Christian Library)","By Wallace, Lew","1990"
"One pot favorites: A healthy exchanges cookbook","By Lund, JoAnna M.","1997"
"30 meals/30 minutes: A healthy exchanges cookbook","By Lund, JoAnna M.","1997"
"You, Too, Can Find Anybody","By Culligan, Joseph J.","1998"
"Pony-Sitters (Pony Pals #14)","By Betancourt, Jeanne and Bachem, Paul (ILT)","1997"
"World's Worst Knock Knock Jokes","By Sloan, O.","1974"
"The Smithsonian Guide to Historic America Southern New England","By Wiencek, Henry, Kennedy, Roger G. (EDT), and Rocheleau, Paul (ILT)","1989"
"Benji","By Alison Thomas, Joe Camp","1975"
"It's a Mystery, Charlie Brown","By Schulz, Charles M.","1975"
"My Sister's Keeper: A Novel (Wsp Readers Club)","By Picoult, Jodi","2005"
"Grandma Jo's Soup Kettle: 100 Hearty and Healthy Soups, Stews, Gumbos, and Chowders ( A Healthy Exchanges Cookbook )","By JoAnna M. Lund","1999"
"The Thunder of Justice: The Warning, the Miracle, the Chastisement, the Era of Peace","By Flynn, Ted","1993"
"Vanishing Acts: A Novel","By Picoult, Jodi","2005"
"Mystery Cat and the Monkey Business","By Saunders, Susan","1986"
"Weight Watchers Magazine Annual Recipes for Success 2000","By By The Editors","1999"
"Shooting at Loons (Deborah Knott Mysteries)","By Maron, Margaret","1994"
"Desserts","By Rosemary Wilkinson","2003"
"Mexican: Healthy Ways with a Favorite Cuisine","By Milton, Jane","2003"
"Soup: Superb Ways With a Classic Dish (The Soup Bible)","By Mayhew","2000"
"March: A Novel","By Brooks, Geraldine","2006"
"Mary's Story: Luke 1:5-2:18 for Children (Arch Book)","By Brem, M. M.","1967"
"I Can Read About Sharks","By Naden, Corinne J.","1979"
"Sarah, Plain and Tall","By MacLachlan, Patricia","1987"
"Jesus and the Children (Family Time Bible Stories)","By Quattlebaum, Mary and Farnsworth, Bill (ILT)","1995"
"Touch and Feel: Farm","By Dorling Kindersley, Inc. (COR)","1998"
"The Black Stallion and the Girl","By Farley, Walter","1971"
"I Go","By unknown","1990"
"Ocean Explorer (Earth Explorers)","By Nicholson, Sue","2002"
"Weekly Reader Books presents Encyclopedia Brown solves them all: Ten all-new mysteries","By Sobol, Donald J.","1968"
"Key of Light","By Roberts, Nora","2003"
"The Timothy Files","By Sanders, Lawrence","1988"
"Sheba: A Spy Thriller","By Higgins, Jack","1995"
"In Celebration of Women: A Selection of Words and Paintings","By Exley, Helen (EDT)","1996"
"Ride the Dark Trail: The Sacketts: A Novel","By L'Amour, Louis","1984"
"The Ferguson Rifle: A Novel (Louis L'Amour's Lost Treasures)","By L'Amour, Louis","1985"
"Stillwatch","By Clark, Mary Higgins","1986"
"Chancy: A Novel","By L'Amour, Louis","1984"
"Promises to keep: the amway phenomenon and how it works -100","By Conn, Charles Paul","1986"
"Over on the Dry Side (Talon and Chantry)","By L'Amour, Louis","1985"
"A Good Walk Spoiled: Days and Nights on the PGA Tour","By Feinstein, John","2005"
"Ransom: A Novel","By Steel, Danielle","2005"
"Oliver Twist (Penguin Classics)","By Dickens, Charles and Fairclough, Peter (EDT)","1966"
"Start Collecting Stamps / Includes Stamps (A Running Press Collector Book)","By Grossman, Samuel","1988"
"How to Let God Help You Through Hard Times","By","2007"
"Labyrinths of Reason: Paradox, Puzzles, and the Frailty of Knowledge","By Poundstone, William","1988"
"Thresholds of the Mind","By Harris, Bill","2002"
"A Visit to the Sesame Street Library (Pictureback(R))","By Mathieu, Joseph (ILT), Henson, Jim, and Hautzig, Deborah","1986"
"Tex","By Hinton, S. E.","1989"
"Deception Point","By Brown, Dan","2002"
"D.W. Rides Again (D. W. Series)","By Brown, Marc Tolon","1996"
"Tonight on the Titanic (Magic Tree House, No. 17)","By Osborne, Mary Pope","1999"
"Maximum Fat Loss You Don't Have A Weight Problem! It's Much Simpler Than That","By Broer, Ted","2001"
"The Outdoor Life Deer Hunter's Yearbook 1984 by Outdoor Life (1983-11-03)","By Outdoor Life","1983"
"1996 TOH Annual Recipes","By none","1999"
"The First Christmas","By Boldorini, Maria Grazia (ILT)","1994"
"Three Plays: Desire Under The Elms; Strange Interlude; Mourning Becomes Electra","By O'Neill, Eugene","1959"
"Art of Being a Man","By Petersen, Allan","1974"
"Nothing Lasts Forever","By Sheldon, Sidney","1995"
"The Orchids and Gumbo Poker Club","By Alice Alfonzi","2003"
"Live Like You Were Dying","By McGraw, Tim (FRW), Nichols, Tim, and Wiseman, Craig","2004"
"Then Again, Maybe I Won't","By Blume, Judy","1975"
"Pooh's Basket of Surprises (Jellybean Books(R))","By Milne, A. A., Yee, Josie (ILT), and Gaines, Isabel","2001"
"A Countrywoman's Year","By Verey, Rosemary","1991"
"If You're Not Here, Please Raise Your Hand: Poems About School","By Dakos, Kalli","1990"
"Secret Soldiers","By Gerard, Philip","2003"
"In a Sunburned Country","By Bryson, Bill","2000"
"The Be (Happy) Attitudes: 8 Positive Attitudes That Can Transform Your Life","By Schuller, Robert Harold","1987"
"Sleeping Beauty; Snow White; Aladdin (Good Night, Sleep Tight Storybook)","By","1996"
"The Ephesus Fragment (Blue Roge Legacy)","By Parker, Gary E.","1999"
"Policy-Making in the European Union (New European Union Series)","By Wallace, Helen (EDT) and Wallace, William (EDT)","2000"
"Eat & Stay Slim (Better Homes and Gardens)","By Fuller, Kristi (EDT)","1997"
"Miss Manners' Guide to Rearing Perfect Children","By Martin, Judith","1984"
"American Antique Furniture: A Book For Amateurs, Vol. 2","By Miller, Edgar George","1966"
"Normal Is Just a Setting on Your Dryer","By Clairmont, Patsy","1993"
"The Dragon Queen (Tales of Guinevere, Book 1)","By Borchardt, Alice","2001"
"Dreams on Ice (Girls Only!, Book 1)","By Lewis, Beverly","1998"
"The Whipping Boy","By Fleischman, Sid, Sis, Peter (ILT), and Sis, Peter","1987"
"Gray Boy","By Arnosky, Jim","1989"
"Crockery Cookbook/over 120 Delicious Recipes for Your Crock-Pot Slow Cooker","By Sunset Books","1992"
"A day in the life of Oscar the Grouch: Featuring Jim Henson's Sesame Street Muppets","By Hayward, Linda","1981"
"A Prayer for Owen Meany: A Novel (Ballantine Reader's Circle)","By Irving, John","1997"
"Going up with Grover: A counting book","By Hayward, Linda","1992"
"Christopher Robin Leads an Expotition","By Milne, A. A. and Shepard, Ernest H. (ILT)","1993"
"Kanga and Baby Roo Come to the Forest (A Winnie-the-Pooh Storybook)","By Milne, A. A. and Shepard, Ernest H.","1993"
"Beauty and the Beast (Disney's Wonderful World of Reading)","By Walt Disney","1993"
"When Jessie Came Across the Sea","By Lynch, P. J. (ILT) and Hest, Amy","1997"
"The Whole Heaven Catalog: A Resource Guide to Products, Services, Arts, Crafts & Festivals of Religious,  Spiritual, & Cooperative Communities","By Kelly, Jack and Kelly, Marcia M.","1998"
"A Journey to the Center of the Earth","By Jules Verne","1993"
"The Italians: face of a nation","By Phillips, John","1965"
"Share My Pleasant Stones","By Price, Eugenia","1978"
"Church: Purpose, Profile, Priorities","By Schwindoll, Charles","1988"
"Comparative World Atlas","By Hammond Inc","1989"
"God in the Garden; The Story of Billy Graham's First New York Crusade","By Curtis Mitchell","2005"
"The Spirit of America (The Great American Century Series)","By Miller, Calvin and Kinkade, Thomas","1998"
"Double Trouble","By Pellowski, Michael","1986"
"Shiloh","By Naylor, Phyllis Reynolds","1992"
"National Geographic Satellite Atlas Of The World (Direct Mail Edition)","By National Geographic Society (U. S.) (COR)","1998"
"The Quilting Bible (Singer Sewing Reference Library)","By The Editors of Creative Publishing international, Singer","1997"
"Skin & Nails: Care Tips for Girls (American Girl Library)","By Williams, Julie and Banner, Shawn (ILT)","2003"
"Time Life Book of Repair and Restoration Making the house you own the home of your dreams","By David Holloway, Mike Lawrence, John McGowan","1999"
"Her Seven Brothers","By Goble, Paul","1993"
"The Da Vinci Code: Special Illustrated Edition","By Brown, Dan","2004"
"The Complete Book of American Trivia","By Smith, Kathy and Hyams, Jay","1989"
"Summer of the Sea Serpent (Magic Tree House, No. 31)","By Murdocca, Sal (ILT) and Osborne, Mary Pope","2004"
"An Invitation to Tea (Teatime Pleasures)","By Barnes, Emilie and Clough, Sandy Lynam (ILT)","1996"
"Sebastian Super Sleuth and the Santa Claus Caper","By Christian, Mary Blount","1984"
"The Men's Health Hard Body Plan : The Ultimate 12-Week Program for Burning Fat and Building Muscle","By Keller, Larry","2000"
"If the Dinosaurs Came Back","By Most, Bernard","1978"
"The Mysterious Matter of I. M. Fine","By Stanley, Diane","2002"
"The Great Easter Egg Hunt (Lift-The-Flap Book)","By Tanner, Suzy-Jane","1996"
"The Easter Book","By Lanza, Barbara (ILT) and Miller, Jean","1993"
"The Secret Garden","By Burnett, Frances Hodgson","1994"
"Black Beauty (Great Illustrated Classics)","By Anna Sewell","2000"
"CliffsQuickReview Algebra II","By Kohn, Edward","1995"
"Judy Moody Predicts the Future","By McDonald, Megan and Reynolds, Peter (ILT)","2005"
"Peter Rabbit and Eleven Other Favorite Tales (Dover Children's Thrift Classics)","By Potter, Beatrix and Stewart, Pat Ronson (ILT)","1993"
"The Adventures of Poor Mrs. Quack (Dover Children's Thrift Classics)","By Burgess, Thornton W., Kliros, Thea (ILT), and Cady, Harrison (ILT)","1993"
"The Hunchback of Notre Dame (Dover Children's Thrift Classics)","By Kliros, Thea (ILT), Blaisdell, Robert, and Hugo, Victor","1995"
"The Starving Students' Cookbook: The Classic Guide for the Clueless Gourmet!","By Hall, Dede","1994"
"HILDA'S TEA PARTY: BUSY WORLD RICHARD SCARRY #7 (The Busy World of Richard Scarry)","By Scarry, Richard (EDT)","1996"
"Zak and Wheezie Clean Up (Pictureback(R))","By Thompson, Dana (ILT), Thompson, Del (ILT), Trimble, Irene, Ruby, Cliff, and Lesser, Elana","2000"
